"Add New Menu","Add New Menu"
"Columns Layout","Columns Layout"
"Edit Menu '%s'","Edit Menu '%s'"
"EM Menu Manager","EM Menu Manager"
"EMThemes Menu Manager","EMThemes Menu Manager"
"Height","Height"
"Horizontal","Horizontal"
"Item Manager","Item Manager"
"Item News","Item News"
"Items Manager","Items Manager"
"Link:","Link:"
"Revert","Revert"
"Rows Layout","Rows Layout"
"Spacing","Spacing"
"Sub Label","Sub Label"
"Text","Text"
"URL","URL"
"Vertical","Vertical"
"Width","Width"
"WYSIWYG Editor","WYSIWYG Editor"