"-- Please Select --","-- выберите --"
"Brands","Бренды"
"Click to go to the import/export page","Что Вы хотите сделать?"
"Configuration Scope","Область действия настроек"
"Configuration of selected store will be saved in a file.","Система запишет в файл настройки выбранного Вами магазина"
"Demo1","демо-магазин №1"
"Demo1 (color settings only)","демо-магазин №1 (только цветовые настройки)"
"Demo2","демо-магазин №2"
"Demo2 (color settings only)","демо-магазин №2 (только цветовые настройки)"
"Demo3","демо-магазин №3"
"Demo3 (color settings only)","демо-магазин №3 (только цветовые настройки)"
"Demo4","демо-магазин №4"
"Demo4 (color settings only)","демо-магазин №4 (только цветовые настройки)"
"Demo5","демо-магазин №5"
"Demo5 (color settings only)","демо-магазин №5 (только цветовые настройки)"
"Demo6","демо-магазин №6"
"Demo6 (color settings only)","демо-магазин №6 (только цветовые настройки)"
"Export Configuration","Экспорт настроек"
"Export settings","Экспорт настроек"
"File Name","Имя файла"
"Import Configuration","Импорт настроек"
"Import settings","Импорт настроек"
"Imported configuration settings will be applied to selected scope (selected store view or website). If you're not sure what is 'scope' in Magento system configuration, it is highly recommended to leave the default scope <strong>'Default Config'</strong>. In this case imported configuration will be applied to all existing store views.","Настройки будут применены к выбранному магазину. Если Вы не уверены, к какому магазину требуется применить настройки, то применяйте настройки к глобальной области."
"Menu","Меню"
"Reset Form","Очистить форму"
"Select Configuration to Import","Выберите файл настроек для импорта"
"Select Elements of the Configuration to Export","Укажите, какие именно настройки надо экспортировать"
"Select File With Saved Configuration to Import","Укажите файл, куда ранее были экспортированы настройки"
"Slideshow","Слайд-шоу"
"This will be the name of the file in which configuration will be saved. You can enter any name you want.","Имя файла, куда будут записаны настройки."
"Ultimo","оформительская тема Ультимо"
"Upload custom file...","Загрузить файл..."
"Zoom","Иллюстрации"