"-- No Link --","отсутствует"
"-- Please Select --","-- выберите --"
"1024 px","1024 пикселя"
"1280 px","1280 пикселей"
"1360 px","1024 пикселей"
"1440 px","1024 пикселей"
"1440 px","1024 пикселей"
"1680 px","1024 пикселей"
"12 px","12 пикселей"
"13 px","13 пикселей"
"14 px","14 пикселей"
"320 px","320 пикселей"
"480 px","480 пикселей"
"640 px","640 пикселей"
"Advanced Search Results","на результаты расширенного поиска"
"Black","чёрный"
"Black | White on hover","чёрный | при наведении — белый"
"bottom","по нижнему краю"
"center","по центру"
"Custom...","<указано ниже вручную>"
"Custom Page (more options...)","на другую страницу"
"Custom width...","<указать нестандартное значение>"
"Cyrillic","кириллица"
"Cyrillic Extended","кириллица с редкими символами"
"Default","стандартный"
"Disable Completely","отключить полностью"
"Display","показывать"
"Display On Hover","показывать при наведении мыши"
"Don't Display","не показывать"
"Don't Replace With Static Block","не замещать самодельным блоком"
"fixed","нет"
"Google Fonts...","<шрифт выбран ниже из библиотеки Google>"
"Greek","греческий"
"Greek Extended","греческий с редкими символами"
"If Empty, Replace With Static Block","если нет данных, то заместить самодельным блоком"
"Inner container","да, меню в целом"
"Khmer","кхмерский"
"Latin","латинский"
"Latin Extended","латинский с редкими символами"
"left","по левому краю"
"Menu items","да, пункты меню"
"No easing","равномерная анимация"
"no-repeat","не повторять"
"None","нет"
"Quick Search Results","на результаты полнотекстового поиска"
"repeat","повторять и по горизонтали, и по вертикали"
"repeat-x","повторять по горизонтали"
"repeat-y","повторять по вертикали"
"Replace With Static Block","заместить самодельным блоком"
"right","по правому краю"
"scroll","да"
"Size S","мелкий"
"Size XS","очень мелкий"
"Sum of the grid units should be equal %s","В сетке должно быть %s колонок."
"top","по верхнему краю"
"Vietnamese","вьетнамский"
"White","белый"
"White | Black on hover","белый | при наведении — чёрный"