"Add to Cart","купить"
"Best Seller","Популярное"
"Check items to add to the cart or","Хотите добавить эти товары в корзину?<br/>Укажите требуемые галочками, а затем нажмите кнопку «в корзину» рядом с основным товаром.<br/>Вы также можете"
"Configuration","Настройки"
"Most Viewed","Самое просматриваемое"
"New Arrival","Новая коллекция"
"New Arrivals","Новая коллекция"
"Featured","Премиум"
"Related Products","Смотрите также"
"select all","выбрать все"
"Special","Ограниченная серия"
"unselect all","снять выбор со всех"
"Upsell Products","Аналоги"
"Venus Tabs Home","Вкладки на главной"
"Ves TabsHome","Вкладки на главной"